联系方式-全网,#genre#
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
NHK新闻英,http://61.221.215.25:8800/hls/51/index.m3u8

CHC动作电影IPV6,http://[2409:8087:7008:20::2]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CHC家庭影院IPV6,http://[2409:8087:7008:20::8]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8
CHC影迷电影IPV6,http://[2409:8087:7008:20::8]/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
Aktv频道-全网,#genre#
中天新闻台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
TVBS-新闻台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
寰宇新闻台,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8
凤凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
无线新闻台(北美),http://aktv.top/AKTV/live/aktv2/null-1/AKTV.m3u8
凤凰资讯,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
无线新闻台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
美亚电影台(HK),http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8
东森新闻,http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8
凤凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
TVB Plus,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8
中天亚洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
翡翠综合台(北美),http://aktv.top/AKTV/live/aktv/null-17/AKTV.m3u8
千禧经典台(HK),http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8
翡翠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-18/AKTV.m3u8
娱乐新闻台(HK),http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8
PopC,http://aktv.top/AKTV/live/aktv/popc/AKTV.m3u8
黄金翡翠台,http://aktv.top/AKTV/live/aktv/null-21/AKTV.m3u8
myTV SUPER 18台,http://aktv.top/AKTV/live/aktv/mytvsuper18/AKTV.m3u8
中视,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
明珠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-19/AKTV.m3u8
Channel 8 HD,http://aktv.top/AKTV/live/aktv/channel8hd/AKTV.m3u8
Channel 5 HD,http://aktv.top/AKTV/live/aktv/channel5hd/AKTV.m3u8
viutv 99,http://aktv.top/AKTV/live/aktv2/viutv99/AKTV.m3u8
靖天电影台,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8
华视,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8
28 AI 智慧赛马,http://aktv.top/AKTV/live/aktv/28ai/AKTV.m3u8
tvN,http://aktv.top/AKTV/live/aktv/tvn/AKTV.m3u8
龙华电影台,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8
ROCK Action,http://aktv.top/AKTV/live/aktv/rockaction/AKTV.m3u8
龙华经典台,http://aktv.top/AKTV/live/aktv/null-7/AKTV.m3u8
viutv6 96,http://aktv.top/AKTV/live/aktv2/viutv696/AKTV.m3u8
Channel U HD,http://aktv.top/AKTV/live/aktv/channeluhd/AKTV.m3u8
Animax(HK),http://aktv.top/AKTV/live/aktv3/animaxhk/AKTV.m3u8
无线卫星新闻台,http://aktv.top/AKTV/live/aktv3/null-2/AKTV.m3u8
龙华日韩台,http://aktv.top/AKTV/live/aktv/null-22/AKTV.m3u8
Thrill,http://aktv.top/AKTV/live/aktv3/thrill/AKTV.m3u8
France 24,http://aktv.top/AKTV/live/aktv3/france24/AKTV.m3u8
DW,http://aktv.top/AKTV/live/aktv3/dw/AKTV.m3u8
亚洲新闻台,http://aktv.top/AKTV/live/aktv3/null-3/AKTV.m3u8
东方卫视国际频道,http://aktv.top/AKTV/live/aktv3/null/AKTV.m3u8
KIX,http://aktv.top/AKTV/live/aktv3/kix/AKTV.m3u8
Nick Jr,http://aktv.top/AKTV/live/aktv3/nickjr/AKTV.m3u8
Nickelodeon,http://aktv.top/AKTV/live/aktv3/nickelodeon/AKTV.m3u8
AXN,http://aktv.top/AKTV/live/aktv2/axn/AKTV.m3u8
i-Fun 动漫台,http://aktv.top/AKTV/live/aktv2/ifun/AKTV.m3u8
NHK World-Japan,http://aktv.top/AKTV/live/aktv3/nhkworldjapan/AKTV.m3u8
ZooMoo,http://aktv.top/AKTV/live/aktv3/zoomoo/AKTV.m3u8
NHK东京総合,http://aktv.top/AKTV/live/aktv3/nhk/AKTV.m3u8
Love Nature HD,http://aktv.top/AKTV/live/aktv3/lovenaturehd/AKTV.m3u8
Love Nature HD,http://aktv.top/AKTV/live/aktv2/lovenaturehd/AKTV.m3u8
Astro iQIYI,http://aktv.top/AKTV/live/aktv3/astroiqiyi/AKTV.m3u8
Astro Xing He,http://aktv.top/AKTV/live/aktv3/astroxinghe/AKTV.m3u8
Astro AEC,http://aktv.top/AKTV/live/aktv3/astroaec/AKTV.m3u8
纬来体育台,http://aktv.top/AKTV/live/aktv3/null-1/AKTV.m3u8
肥羊iTV频道-全网,#genre#
CCTV-01_ITV,http://hulun.top:35455/gaoma/cctv1.m3u8
CCTV-02_ITV,http://hulun.top:35455/gaoma/cctv2.m3u8
CCTV-03_ITV,http://hulun.top:35455/gaoma/cctv3.m3u8
CCTV-04_ITV,http://hulun.top:35455/gaoma/cctv4.m3u8
CCTV-05_ITV,http://hulun.top:35455/gaoma/cctv5.m3u8
CCTV-5+_ITV,http://hulun.top:35455/gaoma/cctv5p.m3u8
CCTV-06_ITV,http://hulun.top:35455/gaoma/cctv6.m3u8
CCTV-07_ITV,http://hulun.top:35455/gaoma/cctv7.m3u8
CCTV-08_ITV,http://hulun.top:35455/gaoma/cctv8.m3u8
CCTV-09_ITV,http://hulun.top:35455/gaoma/cctv9.m3u8
CCTV-10_ITV,http://hulun.top:35455/gaoma/cctv10.m3u8
CCTV-11_ITV,http://hulun.top:35455/gaoma/cctv11.m3u8
CCTV-12_ITV,http://hulun.top:35455/gaoma/cctv12.m3u8
CCTV-13_ITV,http://hulun.top:35455/gaoma/cctv13.m3u8
CCTV-14_ITV,http://hulun.top:35455/gaoma/cctv14.m3u8
CCTV-15_ITV,http://hulun.top:35455/gaoma/cctv15.m3u8
CCTV-16_ITV,http://hulun.top:35455/gaoma/cctv16.m3u8
CCTV-17_ITV,http://hulun.top:35455/gaoma/cctv17.m3u8
CCTV-4k_ITV,http://hulun.top:35455/gaoma/cctv4k.m3u8
CCTV-8k_ITV,http://hulun.top:35455/gaoma/cctv8k_36m.m3u8
CCTV-01_ITV,http://27.19.5.15:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV-02_ITV,http://27.19.5.15:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-03_ITV,http://27.19.5.15:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV-04_ITV,http://27.19.5.15:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV-05_ITV,http://27.19.5.15:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV-5+_ITV,http://27.19.5.15:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV-06_ITV,http://27.19.5.15:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV-07_ITV,http://27.19.5.15:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV-08_ITV,http://27.19.5.15:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV-09_ITV,http://27.19.5.15:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV-10_ITV,http://27.19.5.15:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV-11_ITV,http://27.19.5.15:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV-12_ITV,http://27.19.5.15:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV-14_ITV,http://27.19.5.15:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV-15_ITV,http://27.19.5.15:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV-16_ITV,http://27.19.5.15:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV-17_ITV,http://27.19.5.15:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
CHC动作电影,https://ali.hlspull.yximgs.com/live/diyp_chcdongzuo.flv
CHC家庭影院,https://ali.hlspull.yximgs.com/live/diyp_chcjiating.flv
CHC影迷电影,https://ali.hlspull.yximgs.com/live/diyp_chcyingmi.flv
北京卫视_ITV,http://27.19.5.15:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
东方卫视_ITV,http://27.19.5.15:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
浙江卫视_ITV,http://27.19.5.15:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
江苏卫视_ITV,http://27.19.5.15:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
湖南卫视_ITV,http://27.19.5.15:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
广东卫视_ITV,http://27.19.5.15:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
深圳卫视_ITV,http://27.19.5.15:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
天津卫视_ITV,http://27.19.5.15:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
安徽卫视_ITV,http://27.19.5.15:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
山东卫视_ITV,http://27.19.5.15:35455/itv/1000000005000265019.m3u8?cdn=ystenlive
辽宁卫视_ITV,http://27.19.5.15:35455/itv/1000000005000265022.m3u8?cdn=ystenlive
江西卫视_ITV,http://27.19.5.15:35455/itv/1000000005000265032.m3u8?cdn=ystenlive
湖北卫视_ITV,http://27.19.5.15:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
重庆卫视_ITV,http://27.19.5.15:35455/itv/1000000005000265017.m3u8?cdn=ystenlive
东南卫视_ITV,http://27.19.5.15:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
青海卫视_ITV,http://27.19.5.15:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
黑龙江视_ITV,http://27.19.5.15:35455/itv/1000000001000001925.m3u8?cdn=ystenlive
NTV精品综合,http://27.19.5.15:35455/itv/1000000004000019008.m3u8?cdn=ystenlive
NTV精品大剧,http://27.19.5.15:35455/itv/1000000004000013968.m3u8?cdn=ystenlive
NTV精品纪录,http://27.19.5.15:35455/itv/1000000004000013730.m3u8?cdn=ystenlive
NTV精品体育,http://27.19.5.15:35455/itv/1000000004000014634.m3u8?cdn=ystenlive
NTV精品萌宠,http://27.19.5.15:35455/itv/1000000006000032328.m3u8?cdn=ystenlive
NTV爱情喜剧,http://27.19.5.15:35455/itv/2000000003000000010.m3u8?cdn=hnbblive
NTV超级电视,http://27.19.5.15:35455/itv/1000000006000268003.m3u8?cdn=ystenlive
NTV超级电影,http://27.19.5.15:35455/itv/1000000003000012426.m3u8?cdn=ystenlive
NTV超级体育,http://27.19.5.15:35455/itv/1000000001000009601.m3u8?cdn=ystenlive
NTV超级综艺,http://27.19.5.15:35455/itv/1000000006000268002.m3u8?cdn=ystenlive
NTV潮妈辣婆,http://27.19.5.15:35455/itv/2000000003000000018.m3u8?cdn=hnbblive
NTV东北热剧,http://27.19.5.15:35455/itv/1000000005000266013.m3u8?cdn=ystenlive
NTV动作电影,http://27.19.5.15:35455/itv/1000000004000018653.m3u8?cdn=ystenlive
NTV古装剧场,http://27.19.5.15:35455/itv/2000000003000000024.m3u8?cdn=hnbblive
NTV欢乐剧场,http://27.19.5.15:35455/itv/1000000005000266012.m3u8?cdn=ystenlive
NTV家庭剧场,http://27.19.5.15:35455/itv/1000000004000008284.m3u8?cdn=ystenlive
NTV金牌综艺,http://27.19.5.15:35455/itv/1000000004000026167.m3u8?cdn=ystenlive
NTV惊悚悬疑,http://27.19.5.15:35455/itv/1000000004000024282.m3u8?cdn=ystenlive
NTV军旅剧场,http://27.19.5.15:35455/itv/2000000003000000014.m3u8?cdn=hnbblive
NTV军事评论,http://27.19.5.15:35455/itv/2000000003000000022.m3u8?cdn=hnbblive
NTV魅力潇湘,http://27.19.5.15:35455/itv/1000000001000006197.m3u8?cdn=ystenlive
NTV明星大片,http://27.19.5.15:35455/itv/2000000003000000016.m3u8?cdn=hnbblive
NTV农业致富,http://27.19.5.15:35455/itv/2000000003000000003.m3u8?cdn=hnbblive
NTV武博世界,http://27.19.5.15:35455/itv/2000000003000000007.m3u8?cdn=hnbblive
NTV炫舞未来,http://27.19.5.15:35455/itv/1000000001000000515.m3u8?cdn=ystenlive
NTV怡伴健康,http://27.19.5.15:35455/itv/1000000005000266011.m3u8?cdn=ystenlive
NTV中国功夫,http://27.19.5.15:35455/itv/2000000003000000009.m3u8?cdn=hnbblive
NTV黑莓电影,http://27.19.5.15:35455/itv/1000000004000019624.m3u8?cdn=ystenlive
NTV黑莓动画,http://27.19.5.15:35455/itv/1000000004000021734.m3u8?cdn=ystenlive
NTV哒啵电竞,http://27.19.5.15:35455/itv/1000000006000032327.m3u8?cdn=ystenlive
NTV哒啵赛事,http://27.19.5.15:35455/itv/1000000001000003775.m3u8?cdn=ystenlive

SiTV动漫秀场,http://27.19.5.15:35455/itv/5000000011000031113.m3u8?cdn=bestzb
SiTV都市剧场,http://27.19.5.15:35455/itv/5000000011000031111.m3u8?cdn=bestzb
SiTV法治天地,http://27.19.5.15:35455/itv/9001547084732463424.m3u8?cdn=bestzb
SiTV欢笑剧场,http://27.19.5.15:35455/itv/5000000002000009455.m3u8?cdn=bestzb
SiTV欢笑剧4k,http://27.19.5.15:35455/itv/5000000007000010001.m3u8?cdn=bestzb
SiTV金色学堂,http://27.19.5.15:35455/itv/5000000010000026105.m3u8?cdn=bestzb
SiTV劲爆体育,http://27.19.5.15:35455/itv/5000000002000029972.m3u8?cdn=bestzb
SiTV乐游频道,http://27.19.5.15:35455/itv/5000000011000031112.m3u8?cdn=bestzb
SiTV魅力足球,http://27.19.5.15:35455/itv/5000000011000031207.m3u8?cdn=bestzb
SiTV七彩戏剧,http://27.19.5.15:35455/itv/5000000011000031116.m3u8?cdn=bestzb
SiTV生活时尚,http://27.19.5.15:35455/itv/5000000002000019634.m3u8?cdn=bestzb
SiTV游戏风云,http://27.19.5.15:35455/itv/5000000011000031114.m3u8?cdn=bestzb
睛彩青少_ITV,http://27.19.5.15:35455/itv/3000000020000031315.m3u8?cdn=FifastbLive
睛彩竞技_ITV,http://27.19.5.15:35455/itv/2000000003000000060.m3u8?cdn=hnbblive
睛彩竞技_ITV,http://27.19.5.15:35455/itv/1000000006000270001.m3u8?cdn=ystenlive
睛彩篮球_ITV,http://27.19.5.15:35455/itv/2000000003000000061.m3u8?cdn=hnbblive
睛彩篮球_ITV,http://27.19.5.15:35455/itv/2000000003000000065.m3u8?cdn=hnbblive
睛彩篮球_ITV,http://27.19.5.15:35455/itv/1000000006000270002.m3u8?cdn=ystenlive
睛彩篮球_ITV,http://27.19.5.15:35455/itv/1000000006000270006.m3u8?cdn=ystenlive
睛彩广场_ITV,http://27.19.5.15:35455/itv/2000000003000000062.m3u8?cdn=hnbblive
睛彩广场_ITV,http://27.19.5.15:35455/itv/2000000003000000064.m3u8?cdn=hnbblive
睛彩广场_ITV,http://27.19.5.15:35455/itv/1000000006000270003.m3u8?cdn=ystenlive
睛彩广场_ITV,http://27.19.5.15:35455/itv/1000000006000270005.m3u8?cdn=ystenlive
求索动物_ITV,http://27.19.5.15:35455/itv/6000000002000010046.m3u8?cdn=wasusyt
求索纪录_ITV,http://27.19.5.15:35455/itv/6000000002000032052.m3u8?cdn=wasusyt
求索科学_ITV,http://27.19.5.15:35455/itv/6000000002000032344.m3u8?cdn=wasusyt
求索生活_ITV,http://27.19.5.15:35455/itv/6000000002000003382.m3u8?cdn=wasusyt
ITVcctv7,http://27.19.5.15:35455/itv/2000000003000000063.m3u8?cdn=hnbblive
ITVcctv7,http://27.19.5.15:35455/itv/1000000006000270004.m3u8?cdn=ystenlive

i-HOT爱电竞,http://27.19.5.15:35455/itv/6000000006000230630.m3u8?cdn=wasusyt
i-HOT爱谍战,http://27.19.5.15:35455/itv/6000000006000070630.m3u8?cdn=wasusyt
i-HOT爱动漫,http://27.19.5.15:35455/itv/6000000006000280630.m3u8?cdn=wasusyt
i-HOT爱都市,http://27.19.5.15:35455/itv/6000000006000080630.m3u8?cdn=wasusyt
i-HOT爱怀旧,http://27.19.5.15:35455/itv/6000000006000260630.m3u8?cdn=wasusyt
i-HOT爱经典,http://27.19.5.15:35455/itv/6000000006000060630.m3u8?cdn=wasusyt
i-HOT爱科幻,http://27.19.5.15:35455/itv/6000000006000020630.m3u8?cdn=wasusyt
i-HOT爱科学,http://27.19.5.15:35455/itv/6000000006000160630.m3u8?cdn=wasusyt
i-HOT爱浪漫,http://27.19.5.15:35455/itv/6000000006000040630.m3u8?cdn=wasusyt
i-HOT爱历史,http://27.19.5.15:35455/itv/6000000006000150630.m3u8?cdn=wasusyt
i-HOT爱旅行,http://27.19.5.15:35455/itv/6000000006000250630.m3u8?cdn=wasusyt
i-HOT爱奇谈,http://27.19.5.15:35455/itv/6000000006000270630.m3u8?cdn=wasusyt
i-HOT爱青春,http://27.19.5.15:35455/itv/6000000006000100630.m3u8?cdn=wasusyt
i-HOT爱赛车,http://27.19.5.15:35455/itv/6000000006000240630.m3u8?cdn=wasusyt
i-HOT爱体育,http://27.19.5.15:35455/itv/6000000006000290630.m3u8?cdn=wasusyt
i-HOT爱玩具,http://27.19.5.15:35455/itv/6000000006000220630.m3u8?cdn=wasusyt
i-HOT爱喜剧,http://27.19.5.15:35455/itv/6000000006000010630.m3u8?cdn=wasusyt
i-HOT爱悬疑,http://27.19.5.15:35455/itv/6000000006000050630.m3u8?cdn=wasusyt
i-HOT爱幼教,http://27.19.5.15:35455/itv/6000000006000180630.m3u8?cdn=wasusyt
i-HOT爱院线,http://27.19.5.15:35455/itv/6000000006000030630.m3u8?cdn=wasusyt
咪咕频道-全网,#genre#
CCTV-01咪咕,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV-02咪咕,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV-03咪咕,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV-04咪咕,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV-05咪咕,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV-5+咪咕,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV-06咪咕,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV-07咪咕,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV-08咪咕,http://z.b.bkpcp.top/m.php?id=cctv8
CCTV-09咪咕,http://z.b.bkpcp.top/m.php?id=cctv9
CCTV-10咪咕,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV-11咪咕,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV-12咪咕,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV-13咪咕,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV-14咪咕,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV-15咪咕,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV-17咪咕,http://z.b.bkpcp.top/m.php?id=cctv17
cct4欧洲咪咕,http://z.b.bkpcp.top/m.php?id=cctv4o
cct4美洲咪咕,http://z.b.bkpcp.top/m.php?id=cctv4m
家庭影院咪咕,http://z.b.bkpcp.top/m.php?id=jtyy
东方影视咪咕,http://z.b.bkpcp.top/m.php?id=shys
陕西卫视咪咕,http://z.b.bkpcp.top/m.php?id=sxws
湖北卫视咪咕,http://z.b.bkpcp.top/m.php?id=hubws
江西卫视咪咕,http://z.b.bkpcp.top/m.php?id=jxws
江苏卫视咪咕,http://z.b.bkpcp.top/m.php?id=jsws
广东卫视咪咕,http://z.b.bkpcp.top/m.php?id=gdws
游戏风云咪咕,http://z.b.bkpcp.top/m.php?id=yxfy
七彩戏剧咪咕,http://z.b.bkpcp.top/m.php?id=qcxj
欢笑剧场咪咕,http://z.b.bkpcp.top/m.php?id=hxjc
劲爆体育咪咕,http://z.b.bkpcp.top/m.php?id=jbty
魅力足球咪咕,http://z.b.bkpcp.top/m.php?id=mlzq
CCTV-01咪咕,http://hms304nc1972679586.live.aikan.miguvideo.com/wh7f454c46tw3831204341_1349411946/wd_r2/cctv/cctv1hd/2500/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=182.149.232.3&timestamp=20230115080246&ContentId=265183188&timezone=UTC&mtv_session=01b97ad3f1d61532d8f0d40578ee3f47&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=ac6f75650a73ab06efc36233598f26b8
CCTV-02咪咕,http://hms104nc1972679566.live.aikan.miguvideo.com/wh7f454c46tw3468827325_440542616/wd_r2/cctv/cctv2hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.45.97.120&timestamp=20230208125733&ContentId=265667329&timezone=UTC&mtv_session=f739dcaed0e05c0e9e14fa47d0810c20&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=c4d54a337744e33e655349fe312a5eed
CCTV-03咪咕,http://hms44nc1972679560.live.aikan.miguvideo.com/wh7f454c46tw3692367231_1716696590/wd_r2/ocn/cctv3hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.45.97.120&timestamp=20230208130116&ContentId=265667206&timezone=UTC&mtv_session=09b9584da7231a3b6c6b2c20aa3572d6&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=f9cf165e747cb07e1e8dd89226e53387
